titre,entreprise,secteur,ville,contrat,date_publication,description,lien
30 jeunes conducteurs de motos taxi,ANPEJ (AGENCE NATIONALE POUR LA PROMOTION DE L’EMPLOI DES JEUNES),Administrations,Dakar,CDD,2025-09-08,"Dans le cadre de la phase pilote du Projet d’Appui à l’Écomobilité et à l’Entrepreneuriat des Jeunes (PAEEJ), l’ANPEJ, en partenariat avec le PNUD, lance un appel à candidatures pour la sélection de 30 jeunes conducteurs de motos-taxis, dont 20 résidant et exerçant à Kaolack et 10 à Matam.

L’objectif du projet est de promouvoir la mobilité électrique en mettant à disposition des motos électriques remboursables sur 24 mois, afin de contribuer à une transition vers un transport durable et respectueux de l’environnement.

Conditions d’éligibilité

Être âgé(e) de 20 à 35 ans ;

Résider et exercer l’activité de moto-taxi dans les départements de Kaolack ou de Matam ;

Être affilié à un syndicat ou une association de conducteurs de motos-taxis ;

Être titulaire d’un permis de conduire valide ;

Justifier d’au moins 1 an d’expérience dans la conduite de moto-taxi.

Dossier de candidature

Une demande de participation avec numéro d’inscription dans le SIME de l’ANPEJ ;

Une copie de la carte d’identité nationale ;

Un certificat de résidence de moins de 3 mois ;

La carte ou document d’affiliation au syndicat/association ;

Une copie du permis de conduire valide ;

Un Curriculum Vitae (CV) ;

Un casier judiciaire de moins de 3 mois.

Modalités de dépôt

Les dossiers complets doivent être déposés au plus tard le 10 septembre 2025 à 17h00.

Seuls les dossiers complets et soumis dans les délais seront examinés.

Seuls les candidats présélectionnés seront contactés.

Rejoignez-nous dans cette initiative pour une mobilité plus verte !",https://www.goafricaonline.com/sn/emploi/job-10923-30-jeunes-conducteurs-de-motos-taxi
Collaborateur universitaire,AMBASSADE DE BELGIQUE,Ambassades et consulats,Dakar,Freelance,2025-09-08,"Sous la supervision du Chef de coopération, vous apportez un appui à la section de la coopération. Vous serez chargé(e) de :

Suivre quotidiennement les dossiers qui vous sont confiés ;

Construire et entretenir un réseau de contacts avec des partenaires clés ;

Participer aux réunions et événements liés à vos dossiers ;

Rechercher des informations et rédiger courriels, comptes rendus, analyses et rapports ;

Suivre l’actualité sénégalaise en lien avec la coopération belgo-sénégalaise ;

Formuler des avis et recommandations sur les thèmes de votre portefeuille ;

Contribuer à l’organisation d’évènements formels et informels de l’ambassade ;

Échanger des informations avec les collègues internes et partenaires externes ;

Participer à la communication de l’ambassade sur la coopération internationale ;

Appuyer, en fonction des besoins, la section politique de l’ambassade.

Description de l’employeur

L’Ambassade de Belgique à Dakar représente la Belgique au Sénégal, en Gambie, en Guinée-Bissau et au Cabo Verde. Elle défend les intérêts belges et fournit des services aux citoyens belges.

La section de la coopération est composée de quatre personnes. Elle assure la coordination stratégique, le suivi, le rapportage et la représentation de la Belgique dans les différents canaux de coopération internationale (gouvernementale bilatérale, non-gouvernementale, multilatérale et européenne).

Profil recherché

Diplôme de niveau Master (études universitaires de type long) ;

Minimum 3 ans d’expérience professionnelle dans la coopération internationale ou le développement durable ;

Bonne connaissance du fonctionnement de la coopération internationale au Sénégal (acteurs, historique, contexte actuel) ;

Expérience avec ou au sein des structures étatiques et/ou de la société civile au Sénégal (une expérience dans le secteur privé est un atout) ;

Bonne compréhension des enjeux et opportunités liés au développement durable au Sénégal ;

Esprit d’équipe, honnêteté et loyauté ;

Excellente maîtrise du français (oral et écrit) ;

Maîtrise du wolof ou d’une autre langue locale ;

Bonne connaissance de Microsoft Office ;

Solides compétences en communication écrite et orale (rédaction, résumés, présentations, animation de réunions) ;

La compréhension de l’anglais et/ou du néerlandais est un atout ;

Les candidats non-sénégalais doivent être en règle sur le plan administratif pour occuper un emploi rémunéré au Sénégal.

Conditions et avantages

Contrat de travail à durée déterminée (12 mois, non renouvelable), basé sur le droit sénégalais ;

Recrutement au barème GS6 : salaire de base 1.455.330 FCFA brut, avec prise en compte éventuelle de l’expérience professionnelle pertinente ;

Affiliation à la Caisse de Sécurité sociale, à l’IPRES et à l’assurance maladie de l’Ambassade.

Procédure de sélection

Screening des CV et lettres de motivation ;

Test écrit pour les candidat(e)s présélectionné(e)s ;

Entretien pour les candidat(e)s retenu(e)s à l’écrit.

Modalités de candidature

Les personnes intéressées sont invitées à envoyer :

Un CV actualisé ;

Une lettre de motivation ;

Un scan du diplôme.",https://www.goafricaonline.com/sn/emploi/job-10924-collaborateur-universitaire
Responsable Environnement & Social (E&S),RMO,Agences de recrutement,Dakar,Stage,2025-09-08,"Missions principales : Rattaché(e) au Responsable de chantier EPC et au Conseiller Régional E&S, vous aurez pour rôle d’assurer le respect des normes environnementales et sociales sur le chantier. Vous serez chargé(e) de mettre en œuvre et de suivre le Système de Gestion Environnemental et Social (ESMS), de former et sensibiliser les équipes aux bonnes pratiques E&S, de contrôler les conditions de travail et la conformité RH (Code du Travail sénégalais, audits salariaux, assurance, logement, transport), ainsi que de gérer le mécanisme de réclamation des travailleurs. Vous serez un lien clé entre les équipes de construction, HSE, RH, les sous-traitants et les communautés locales.

Profil recherché : Diplôme supérieur en gestion environnementale, écologie, sciences ou équivalent. Expérience de 3 à 5 ans dans un poste similaire (E&S, HSE ou RH), idéalement en contexte chantier. Bonne maîtrise du Code du Travail sénégalais, des normes IFC PS2 et BERD PR2. Expérience dans des projets financés par des bailleurs de fonds (DFI) ou dans la mise en place d’un ESMS. Excellente maîtrise du français et de l’anglais.

Candidature : Pour postuler, envoyez votre CV.",https://www.goafricaonline.com/sn/emploi/job-10928-responsable-environnement-et-social-eets
Africa Regional Manager,IDC - TP (INTERNATIONALE DE CONSTRUCTION ET DE TRAVAUX PUBLICS),Construction,Dakar,CDD,2025-09-08,"Role Responsibilities

Strategy, Advocacy and Leadership

Develop regional and national advocacy strategies in collaboration with IDC members and stakeholders across Africa.

Guide members and stakeholders in designing and implementing national advocacy strategies to reduce immigration detention, promote rights-based alternatives, and expand legal pathways.

Engage in strategic advocacy at national, regional and global levels, ensuring coordination across all levels.

Collaborate with the communications team to share updates through reports, written outputs, and social/digital media.

Contribute to the design and execution of IDC’s overall organisational strategy.

Relationships, Representation and Networking

Build and strengthen networks with governments, UN agencies, civil society, and community leaders, including those with lived detention experience.

Share resources, knowledge, and learning with members and partners.

Represent IDC in regional forums, events, and exchanges.

Facilitate peer-learning and collaborative initiatives with grassroots and community-based organisations.

Support the development of a network of leaders with lived detention experience.

Expertise

Maintain updated knowledge of detention practices, alternatives, and migration issues in Africa and globally.

Contribute to policy consultations, reviews, and standards development.

Lead or support IDC-led research and mapping projects.

Develop policy, training, and communication materials to strengthen advocacy.

Project Development, Fundraising and Management

Develop and deliver project proposals and events at national and regional levels.

Identify funding opportunities, build donor relationships, and contribute to proposals and applications.

Manage project budgets in collaboration with colleagues.

Coordinate recruitment of regional staff, consultants, and interns when needed.

Planning, Monitoring and Evaluation

Develop and track work plans, activities, and outcomes.

Ensure alignment of regional, national, and global initiatives.

Lead monitoring and reporting for funders and contribute to organisational evaluation and learning processes.

Support team-wide learning and external evaluations.

Core Responsibilities

Foster a culture of teamwork, collaboration, and support within IDC.

Demonstrate alignment with IDC’s mission, vision, and values: innovation, collaboration, respect, representation, and solutions-focused.

Uphold IDC’s safeguarding policies to ensure a positive and safe working environment.

Actively contribute to IDC’s systems and processes to support sustainability and institutional knowledge.

Key Selection Criteria

Essential

Strong track record in advocacy with senior policymakers in Africa.

Proven ability to design and implement impactful strategies with stakeholders.

Experience in building and sustaining networks with key actors and community groups.

Demonstrated expertise in policy analysis and strategic thinking.

In-depth knowledge of issues affecting refugees, asylum seekers, and migrants, particularly in detention contexts.

Commitment to promoting migrant and refugee leadership.

Experience designing and delivering training for government and civil society.

Demonstrated fundraising success and donor engagement.

Excellent communication skills, fluent in spoken and written English.

Ability to work independently, manage competing deadlines, and remain flexible.

Strong organisational and IT skills, including digital media.

Ability and willingness to travel within Africa.

Based in the Africa region.

Desirable

Fluency in additional languages.

Strong network among private or philanthropic funders.

Experience working in a transnational civil society network.

Application Process

Interested candidates should submit their resume and cover letter via the IDC Careers Webpage no later than 19 September 2025.",https://www.goafricaonline.com/sn/emploi/job-10929-africa-regional-manager
Vendeuse Nems et Fataya,SECK BUSINESS,Commerce général,Dakar,CDD,2025-09-08,"MYA’S DÉLICES recrute des vendeuses dynamiques et motivées pour la commercialisation de nems et fataya.

Missions :

Développer et gérer sa propre clientèle

Assurer le versement quotidien des recettes

Atteindre les objectifs de vente fixés (salaire basé sur les performances)

Profil recherché :

Sérieuse, ponctuelle et motivée

Aisance relationnelle et goût pour la vente

Bonne capacité à fidéliser une clientèle",https://www.goafricaonline.com/sn/emploi/job-10930-vendeuse-nems-et-fataya
Auditeur interne,CETUD (CONSEIL EXCECUTIF DES TRANSPORTS URBAINS DE DAKAR),Transports urbains,Dakar,CDD,2025-09-08,"Date limite : 30 septembre 2025 à 17h (heure de Dakar)



Le Conseil Exécutif des Transports Urbains de Dakar (CETUD) lance un appel à candidature pour le recrutement d’un Auditeur Interne.



Modalités de candidature



Les personnes intéressées sont invitées à transmettre leur dossier complet de candidature au plus tard le 30 septembre 2025 à 17h (heure de Dakar).",https://www.goafricaonline.com/sn/emploi/job-10931-auditeur-interne
Responsable Régulation,SONAGED,Organisations non-gouvernementales (ONG),Dakar,CDI,2025-09-08,"Missions principales

Élaborer et mettre en œuvre le cadre réglementaire et institutionnel du secteur ;

Veiller au respect des lois, normes et procédures en vigueur ;

Encadrer et contrôler les opérateurs agréés ;

Réaliser des audits et inspections de conformité ;

Proposer des réformes pour renforcer la gouvernance du secteur.

Profil recherché

Bac+5 en droit public, droit de l’environnement ou politiques publiques ;

Minimum 7 ans d’expérience dans la régulation ou la gestion publique/environnementale ;

Expertise confirmée en conception et mise en œuvre de dispositifs de régulation ;

Excellente connaissance du Code de l’Environnement, du Code de l’Hygiène publique et des conventions internationales.",https://www.goafricaonline.com/sn/emploi/job-10932-responsable-regulation
Graduate Trainee,WARTSILA WEST AFRICA SA,Exploitation pétrolière,Dakar,CDD,2025-09-08,"Missions principales

En tant que Graduate Engineer Trainee, vous suivrez un parcours de formation de 2 ans au sein des sites O&M (Operations & Maintenance) de Wärtsilä, avec une immersion complète dans différents départements :

Formation sur les rôles opérationnels et électriques.

Participation à l’On-the-Job Training (OJT) et tenue d’un journal d’apprentissage.

Contribution à des réunions, ateliers et activités de team building.

Rédaction de rapports, présentations et analyses de systèmes existants, avec proposition d’améliorations.

Réalisation de recherches et assistance aux managers/superviseurs.

Évaluation régulière via tests et rapports mensuels.

Apprentissage des procédures d’exploitation et de maintenance des centrales selon les standards Wärtsilä.

Respect des consignes de sécurité (isolation, lock-out/tag-out, procédures d’urgence).

Utilisation optimale des outils et équipements pour maximiser leur durée de vie.

Profil recherché

Diplôme : BSc., B. Tech ou B.ENG en Électrique ou Électronique.

Certificat de fin de service NYSC obligatoire.

Pourquoi nous rejoindre ?

Chez Wärtsilä, nous croyons en l’autonomie, la responsabilité et l’esprit d’équipe. Nous valorisons l’innovation, le courage d’agir, la transparence et la diversité. Nous encourageons chaque collaborateur à s’exprimer librement, à apprendre de ses erreurs et à grandir dans un environnement inclusif et bienveillant.

Comment postuler ?

Soumettez votre candidature avant le 10 septembre 2025 via notre portail Carrières.

Les candidatures envoyées par email ne seront pas prises en compte.",https://www.goafricaonline.com/sn/emploi/job-10933-graduate-trainee
Testeur Fonctionnel IPTV / STB (H/F),GALIMATECH,Informatique,Dakar,Stage,2025-09-08,"Votre mission : Rejoignez une équipe dynamique au cœur de l’innovation technologique dans le secteur de l’IPTV. En tant que Testeur Fonctionnel, vous participerez à la validation des décodeurs et box Android TV. Vos principales responsabilités seront : définir et exécuter les plans de tests (manuels et automatisés), identifier et suivre les anomalies (via JIRA…), collaborer avec les équipes de développement et d’intégration, contribuer aux phases de validation avant mise en production, documenter vos tests et rédiger les rapports de validation.

Compétences techniques attendues : Bonne connaissance des décodeurs/équipements embarqués. Maîtrise des protocoles IPTV. Utilisation d’outils de test spécialisés. Expérience en environnement Linux embarqué, Android TV ou STB propriétaires. Lecture de logs systèmes et diagnostic réseau/applicatif.

Profil recherché : Expérience d’au moins 2 ans sur un poste similaire. Autonomie, rigueur et esprit d’analyse. Goût pour le travail en équipe et capacité d’adaptation dans un environnement technique exigeant.

Candidature : Envoyez votre CV actualisé.",https://www.goafricaonline.com/sn/emploi/job-10934-testeur-fonctionnel-iptv-stb-hf
Directeur de l’Espace Campus France au Sénégal,INSTITUT FRANÇAIS,Centres culturels,Dakar,CDD,2025-09-08,"Missions principales

1. Pilotage stratégique

Proposer et mettre en œuvre la stratégie et la politique d’attractivité pour la mobilité étudiante.

Développer et conduire des projets de promotion et d’orientation (actions, événements).

Suivre et analyser l’activité (tableaux de bord, bilans, statistiques).

Assurer les relations institutionnelles (établissements français et sénégalais, Campus France Paris, services consulaires, MEAE, etc.).

Structurer et animer les actions en direction des Alumni.

2. Pilotage de la procédure « Études en France »

Coordonner et superviser la campagne annuelle « Études en France ».

Veiller au respect des procédures et des calendriers.

Gérer le calibrage et l’activité du dispositif.

Apporter un soutien opérationnel à l’équipe si nécessaire.

3. Pilotage opérationnel de l’Espace Campus France

Coordonner les pôles d’activité : accueil, préqualification, pédagogique, vérification, communication, Alumni.

Assurer la gestion administrative et matérielle, en lien avec le Secrétariat général de l’Institut Français du Sénégal.

Gérer les ressources humaines (animation d’équipe, besoins annuels, recrutements).

Piloter la communication interne et externe de l’Espace, en cohérence avec l’Institut Français et l’Équipe France.

Mettre en place et suivre une démarche qualité.

👤 Profil recherché

Excellente connaissance des systèmes d’enseignement supérieur français et sénégalais, ainsi que des enjeux de la mobilité internationale.

Expérience confirmée en management et gestion d’équipes.

Polyvalence, adaptabilité et capacité à travailler dans un environnement exigeant.

Esprit d’initiative, d’analyse et de proposition.

Sens de l’organisation, autonomie, écoute et excellentes qualités relationnelles.

Maîtrise des outils bureautiques.

Respect strict de la déontologie, devoir de réserve et discrétion professionnelle.

📅 Conditions du poste

Contrat : CDD de 2 ans, renouvelable une fois.

Période d’essai : 3 mois.

Lieu : Dakar, Sénégal.",https://www.goafricaonline.com/sn/emploi/job-10935-directeur-de-l-espace-campus-france-au-senegal
2 stagiaires e-commerce,DECATHLON SENEGAL,Magasins de sport,Dakar,Freelance,2025-09-08,"Ce que nous vous offrons

Une expérience d’apprentissage concrète dans le secteur de l’e-commerce sportif.

Une équipe conviviale et bienveillante prête à vous accompagner au quotidien.

L’opportunité de progresser aux côtés de professionnels expérimentés et passionnés.

Une immersion unique dans l’univers du sport et du digital.

Votre profil

Étudiant(e) en marketing digital, commerce ou domaine connexe.

Passionné(e) par le sport et les nouvelles technologies.

Motivé(e), curieux(se) et désireux(se) d’apprendre tout en contribuant activement à nos projets",https://www.goafricaonline.com/sn/emploi/job-10936-2-stagiaires-e-commerce
Chargé(e) de la conformité Contenu local,TOPWORK SENEGAL,Agences de recrutement,Dakar,CDD,2025-09-08,"Responsabilités

Gérer les outils de contenu local et assurer l’interface avec les autres départements pour garantir la conformité.

Mettre en œuvre la stratégie et la politique de durabilité et de contenu local dans l’ensemble des activités du projet.

Suivre la mise à jour et la conformité des obligations liées au contenu local.

Collaborer avec les fournisseurs et sous-traitants pour assurer le respect des exigences réglementaires.

Élaborer et mettre en œuvre le plan annuel de contenu local.

Préparer, en lien avec les services internes, le rapport annuel sur le contenu local.

Gérer les demandes d’exemptions et suivre le processus d’attribution des contrats dans le logiciel de l’autorité de régulation.

Assurer le suivi de la mise en œuvre des contrats à fort impact en matière de contenu local.

Recueillir et analyser les données des fournisseurs pour calculer la valeur ajoutée générée par le contenu local.

Contribuer activement aux réunions hebdomadaires et régulières du projet.

Produire des rapports hebdomadaires et mensuels sur le contenu local.

Sélectionner les contrats/matériels/équipements concernés et gérer la documentation justificative sur la plateforme de contenu local pour les fournisseurs/sous-traitants présélectionnés ou retenus.

Développer et formaliser les procédures et flux de travail liés au contenu local.

Profil recherché

Master en Droit des Affaires, Droit Minier, Droit Public, ou en Responsabilité Sociétale des Entreprises, Politiques Publiques, Développement Local.

Certificat en conformité réglementaire ou contenu local.

Formation en concertation communautaire ou relations avec les parties prenantes.

Expérience confirmée dans un environnement minier, industriel ou institutionnel.

Excellente maîtrise des enjeux liés au contenu local et des obligations légales.

Profil senior avec forte capacité d’analyse, de coordination et de communication.

Candidature

Merci d’envoyer votre CV",https://www.goafricaonline.com/sn/emploi/job-10937-chargee-de-la-conformite-contenu-local
Conseiller.ère en Résilience,GIZ,Agences de développement,Dakar,CDD,2025-09-08,"Mission

Le/la titulaire du poste aura pour responsabilité de mettre en œuvre des activités visant à renforcer la résilience dans les régions de Kédougou, Tambacounda et Kolda/Vélingara, en collaboration avec des partenaires locaux et experts externes.

Responsabilités principales

Mettre en œuvre sur le terrain les activités liées au résultat 2 avec les partenaires locaux et experts ;

Organiser des événements autour de l’accès aux services sociaux de base et de la participation sociale ;

Assurer la mise en œuvre de mesures à l’interface entre la formation, la réhabilitation des infrastructures de base et la promotion de l’emploi ;

Organiser et animer des ateliers de sélection d’infrastructures sociales de base ;

Appuyer la réalisation des mesures de réhabilitation et d’installation de micro-infrastructures sociales ;

Concevoir et mettre en œuvre des mesures de renforcement de capacités des prestataires de services sociaux locaux, notamment sur la gestion inclusive et participative (jeunes et femmes) et l’appui à l’accès aux financements publics ;

Contribuer au renforcement des capacités et au soutien de manifestations culturelles et sportives transnationales favorisant le dialogue avec les jeunes et la résolution de problématiques sociales ;

Mettre en œuvre des mesures de renforcement de capacités pour structurer les réseaux et forums de la société civile, notamment dans le secteur minier.

Profil recherché

Formation et expérience

Bac+5 en sciences sociales, développement local, sciences politiques, gestion de projets ou domaine connexe ;

Minimum 5 ans d’expérience dans la mise en œuvre de programmes de développement ;

Expérience confirmée en gestion de projets (conceptualisation, planification, coordination, suivi-évaluation) ;

Expérience avérée de collaboration avec des institutions publiques, ONG locales et/ou entreprises opérant dans la région.

Compétences clés

Expérience solide dans la mise en œuvre de projets de développement avec des partenaires institutionnels et communautaires ;

Expérience en conception et animation d’activités liées aux services sociaux de base ;

Maîtrise de l’organisation de dialogues communautaires, en particulier sur les thématiques jeunesse et genre (atout) ;

Bonne connaissance des enjeux liés aux services sociaux de base, à la participation sociale et au développement local ;

Compétences en animation participative et coordination multi-acteurs ;

Excellente maîtrise du français ; la connaissance des langues locales est un atout ;

Rigueur, esprit d’initiative et forte capacité d’adaptation au contexte local.

Candidature

Si vous souhaitez contribuer à cette dynamique et estimez correspondre au profil recherché, veuillez soumettre votre candidature (CV et lettre de motivation en format PDF) exclusivement via notre plateforme EasyHR.",https://www.goafricaonline.com/sn/emploi/job-10938-conseillerere-en-resilience
Ingénieur Contrôle de Qualité,TOPWORK SENEGAL,Agences de recrutement,Dakar,Stage,2025-09-08,"Responsabilités

Contrôle et conformité

Définir et mettre en œuvre les procédures de gestion, de suivi et de contrôle de la qualité ;

Veiller au respect des normes de qualité, sécurité et environnementales sur les sites miniers et les activités du projet ;

Contrôler la conformité des réalisations de fournisseurs, sous-traitants, prestataires et autres parties prenantes ;

Analyser les non-conformités, définir et préconiser les actions correctives et contrôler leur mise en œuvre.

Amélioration continue

Suivre et analyser les données qualité de production et proposer des plans d’actions correctifs avec le Service Qualité ;

Superviser le contrôle qualité des produits entrants/sortants, en cours de fabrication ou en conditionnement ;

Contrôler la validité de qualification des moyens et des personnes ;

Proposer des axes de progrès techniques et procédés de production permettant d’améliorer les processus et de réduire les coûts.

Gestion documentaire

Organiser et suivre la gestion documentaire et la veille réglementaire ;

Formaliser les procédures et dossiers de lots dans le respect des bonnes pratiques ;

Rédiger et mettre à jour les dossiers qualité (procédures, rapports, protocoles de validation) ;

Assurer la traçabilité des lots de production et la conformité aux réglementations.

Collaboration transverse

Coordonner les activités et diriger une structure pour l’atteinte d’objectifs précis ;

Encadrer les chefs d’équipe et animer les réunions périodiques ;

Participer à la formation et la qualification du personnel de production et des intervenants ;

Sensibiliser et former les personnels et parties prenantes à la démarche Qualité de BOYA.

Profil recherché

Bac+5 en Assurance Qualité et/ou diplôme d’Ingénieur (Génie Civil, Géologie ou Mines) ;

Minimum 2 à 5 ans d’expérience pertinente dans le secteur minier, dans un poste similaire ;

Leadership et capacité à animer des équipes pluridisciplinaires ;

Esprit analytique et critique ;

Bonne maîtrise d’ISO 9001 et des méthodologies QA/QC (audits, tests de conformité) et outils d’analyse statistique ;

Connaissance des réglementations minières ;

Maîtrise du français et de l’anglais (oral et écrit) ;

La maîtrise des langues locales (malinké, pulaar) est un atout.

Candidature

Pour postuler, merci d’envoyer votre CV et lettre de motivation à l’adresse suivante : [adresse mail à insérer], en mentionnant l’intitulé du poste en objet.",https://www.goafricaonline.com/sn/emploi/job-10939-ingenieur-controle-de-qualite
Chef de mission – réseaux de transports,GPC Sénégal,Gestion des ressources humaines,Dakar,CDI,2025-09-08,"Vos missions

Piloter la restructuration complète des réseaux de transport urbain.

Conduire les études techniques et stratégiques (organisation des lignes, interconnexions, pôles d’échanges, infrastructures associées).

Coordonner les différents acteurs : autorités locales, bailleurs, opérateurs, bureaux d’études.

Définir et suivre les phases projets : planification, faisabilité, conception, mise en œuvre.

Assurer le respect des coûts, délais, qualité et objectifs de mobilité durable.

Proposer des innovations techniques et organisationnelles pour optimiser la mobilité urbaine.

Profil recherché

Diplôme d’ingénieur ou équivalent en transport, génie civil, urbanisme ou mobilité.

Minimum 10 ans d’expérience dans la gestion de grands projets de transport urbain (BHNS, tramway, train, réseaux de bus).

Excellente maîtrise des problématiques de mobilité multimodale et intégrée en milieu urbain.

Solides compétences en pilotage d’études, planification et coordination d’équipes pluridisciplinaires.

Expérience confirmée en tant qu’expatrié, idéalement en Afrique.

Leadership, capacités de négociation et vision stratégique.

Français courant, anglais apprécié.",https://www.goafricaonline.com/sn/emploi/job-10940-chef-de-mission-reseaux-de-transports
Gender Expert,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS-FAO,Organisations non-gouvernementales (ONG),Dakar,Stage,2025-09-08,"Missions et responsabilités

Formulation et conception de projets sensibles au genre

Soutenir les équipes de formulation dans l’élaboration des propositions et notes conceptuelles du GCF et du FEM.

Intégrer des analyses de genre spécifiques au contexte et élaborer des Plans d’Action Genre (PAG) conformes aux normes GCF/FEM.

Concevoir des interventions favorisant la participation équitable des femmes, leur leadership climatique et des bénéfices sociaux parallèles aux résultats environnementaux.

Orientation politique et soutien technique

Fournir une expertise technique aux partenaires gouvernementaux et autorités nationales sur l’intégration du genre dans les politiques, stratégies et plans climatiques (PAN, CDN…).

Appuyer la formulation et la mise en œuvre de politiques et programmes transformateurs en matière de genre dans les domaines de l’adaptation, de l’atténuation, de la gestion durable des terres et de la biodiversité.

Mise en œuvre, suivi et rapports

Assurer la mise en œuvre des Plans d’Action Genre et stratégies d’inclusion sociale.

Mettre en place un cadre de suivi-évaluation sensible au genre, incluant la collecte de données ventilées par sexe.

Contribuer aux rapports d’avancement, revues à mi-parcours et évaluations finales des projets GCF/FEM.

Développement des capacités et gestion des connaissances

Organiser des initiatives de renforcement des capacités sur le genre pour le personnel, les partenaires gouvernementaux et la société civile.

Développer et diffuser des outils, notes d’orientation et ressources pratiques sur l’intégration du genre dans les projets liés au climat.

Partenariats, coordination et plaidoyer

Collaborer avec les mécanismes nationaux de genre, ministères, organismes régionaux et OSC, notamment celles dirigées par des femmes et organisations autochtones.

Renforcer la participation des femmes à la gouvernance climatique et environnementale.

Profil recherché

Exigences minimales

Diplôme universitaire supérieur en études du développement, genre, changement climatique, agriculture, sciences sociales ou domaines connexes (licence + 2 ans d’expérience supplémentaire acceptée).

Minimum 5 ans d’expérience pertinente en intégration du genre dans la formulation/implémentation de politiques et programmes, notamment en agriculture, climat, sécurité alimentaire et nutrition.

Expérience avec le GCF, FEM ou institutions de financement des investissements (IFI) appréciée.

Maîtrie pratique du français et de l’anglais.

Compétences FAO

Orientation résultats

Esprit d’équipe

Communication efficace

Relations constructives

Partage des connaissances et amélioration continue

Compétences techniques/fonctionnelles

Expérience terrain en Afrique de l’Ouest souhaitée.

Expertise confirmée en égalité des sexes et intégration du genre.

Expérience de formulation, mise en œuvre ou évaluation de projets FEM/GCF et autres financements climatiques.

Connaissance de la mobilisation de ressources en foresterie, biodiversité, adaptation et atténuation du changement climatique.

Expérience avec les agences onusiennes, CER et bureaux de pays FAO.

Compétence avérée dans la conception et le suivi de projets agricoles et ruraux d’envergure axés sur le climat.",https://www.goafricaonline.com/sn/emploi/job-10946-gender-expert
Chargé(e) de Documentation en Douane,SUNDA INTERNATIONAL,Industries,Dakar,CDD,2025-09-04,"Objectif du poste

Le/la Chargé(e) de Documentation en Douane a pour mission principale d’assurer la collecte, le suivi, l’organisation et la saisie des documents liés aux opérations d’importation. Il/elle veille à la conformité des déclarations douanières, à la maîtrise des coûts associés et au respect des délais impartis.

Responsabilités principales

Gestion documentaire

Classer, organiser et archiver les documents d’importation.

Garantir l’exhaustivité et la conformité des dossiers de déclaration.

Suivi et reporting

Assurer la collecte et le suivi des données liées aux dossiers d’importation.

Mettre à jour les tableaux de suivi et contrôler l’avancement des documents jusqu’à l’arrivée au port.

Saisie et contrôle

Saisir les frais liés aux opérations d’importation dans le système SAP.

Vérifier la cohérence des frais avec les modèles de déclaration douanière.

Procédures douanières

Connaître et appliquer les processus de dédouanement.

Réaliser ou contrôler les déclarations sur le système GAINDE.

Vérifier la conformité des déclarations et le respect de la réglementation locale.

Profil recherché

Formation :

Bac+2 minimum en commerce international, logistique, transport ou équivalent.

Expérience :

Une première expérience réussie en gestion documentaire import/export ou en transit/douane est fortement appréciée.

Compétences techniques :

Bonne maîtrise des outils bureautiques (Excel, Word).

Connaissance et idéalement maîtrise du système SAP.

Pratique avérée du système GAINDE.

Connaissance des réglementations douanières locales (atout).

Compétences comportementales :

Organisation et respect des délais.

Rigueur et sens du détail.

Esprit d’équipe et collaboration.

Bonne communication écrite et orale.",https://www.goafricaonline.com/sn/emploi/job-10881-chargee-de-documentation-en-douane
Hôtesse d’accueil,INTERNATIONAL STAFFING COMPANY,Agences de recrutement,Dakar,CDD,2025-09-04,"Missions principales

Le/la titulaire du poste sera chargé(e) de :

Accueillir, informer et orienter les visiteurs, clients et partenaires.

Gérer les appels téléphoniques entrants et sortants (prise de messages, transfert des appels).

Tenir à jour le registre des visiteurs et gérer les rendez-vous.

Réceptionner, enregistrer et distribuer le courrier, colis et documents internes.

Participer à la préparation et à la mise en forme de documents administratifs (courriers, notes, comptes rendus simples).

Assurer le classement et l’archivage des documents administratifs liés à l’accueil.

Veiller à la bonne tenue de l’espace d’accueil, des salles de réunion et de formation.

Gérer les réservations de salles et assurer leur mise en place avant les réunions ou formations.

Veiller à la disponibilité du matériel et des fournitures de bureau liées à l’accueil.

Profil recherché

Bac+3/4 en secrétariat, assistanat, communication ou administration (ou équivalent).

Expérience souhaitée dans un poste similaire (hôtesse d’accueil, assistante administrative, standardiste).

Maîtrise du français obligatoire (la connaissance de l’anglais est un atout).

Excellente présentation et sens du service.

Très bonnes aptitudes relationnelles et de communication.

Maîtrise des outils bureautiques (Word, Excel, Outlook).

Capacité à travailler sous pression.",https://www.goafricaonline.com/sn/emploi/job-10882-hotesse-d-accueil
